"bgCAS","counts"
"100-44-7",46
"10043-35-3",413
"10049-04-4",1787
"102-71-6",1
"10222-01-2",11
"104-55-2",102
"104-76-7",362
"107-19-7",898
"107-21-1",1369
"111-30-8",1185
"111-42-2",384
"111-46-6",547
"111-76-2",779
"112-27-6",3
"112-80-1",190
"12125-02-9",394
"1303-96-4",218
"1330-43-4",329
"141-43-5",41
"144-55-8",3
"50-00-0",545
"55566-30-8",14
"556-67-2",44
"57-55-6",44
"64-17-5",677
"67-56-1",4887
"7632-00-0",1
"7664-41-7",87
"7758-19-2",225
"7758-98-7",41
"7783-20-2",48
"7786-30-3",2
"7789-38-0",280
"9004-62-0",7
"9005-65-6",20
"9016-45-9",52
"91-20-3",29
